direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2 ,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,average wait
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,4.509996,0,0,2,0,0,0,0,0,0,0,0,0,0,2.519998,1,0,0,0,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.259998,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.249996,0,0,0,0,0,0,0,0,0,0,0,0,4,0.12,4,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.365012,0,0,0,0,0,0,0,0,0,0,0,0,2,2.199998,4,0,0,0,0
0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.365012,0,0,3,0,0,0,0,0,0,0,0,0,2,2.199998,5,0,0,0,0
0,0,1,0.18,0,0.8399997,0,0,1,0,0,0,2,0,3,0,0,7.365012,0,0,4,0,0,0,0,0,0,0,0,0,0,4.894996,4,4.029997,0,0,0
